INDIVIDUAL	METRIC	MEAN	SD	SAMPLE_SIZE	EXPERIMENT
1009	N_CLONES_SMALL	27	4.74618960740863	400	gut
1009	N_CLONES_LARGE	6.05	0.8255779474818965	400	gut
1009	PC_CLONES_SMALL	0.8125988500467497	0.04300705178853668	400	gut
1009	P20	0.967375	0.011455721392892672	400	gut
1015	N_CLONES	70.95	4.639362478889348	400	gut
1015	N_CLONES_SINGLE	46.55	5.345681976088148	400	gut
1015	N_CLONES_SMALL	60	5.057563382541147	400	gut
1015	N_CLONES_LARGE	10.95	1.190974832912761	400	gut
1015	PC_CLONES_SMALL	0.844755909155053	0.022255591608886315	400	gut
1015	P20	0.8615	0.012783624393401857	400	gut
1026	N_CLONES	36.9	4.587167455321191	400	gut
1026	N_CLONES_SINGLE	18.4	4.581427035783777	400	gut
1026	N_CLONES_SMALL	29.95	4.406633755218555	400	gut
1026	N_CLONES_LARGE	6.95	0.9445132413883326	400	gut
1026	PC_CLONES_SMALL	0.8095942640762677	0.03005808491950818	400	gut
1026	P20	0.95725	0.011582086894947097	400	gut
1271	N_CLONES	58.65	4.591468060149	400	gut
1271	N_CLONES_SINGLE	35.1	5.220405307918856	400	gut
1271	N_CLONES_SMALL	54.25	4.302691935839335	400	gut
1271	N_CLONES_LARGE	4.4	1.231174022502185	400	gut
1271	PC_CLONES_SMALL	0.9250911913929556	0.01912385172723565	400	gut
1271	P20	0.894	0.014081529522186519	400	gut
1298	N_CLONES	61.25	5.856844848461274	400	gut
1298	N_CLONES_SINGLE	40.15	6.884574672487228	400	gut
1298	N_CLONES_SMALL	55.7	6.105217785675325	400	gut
1298	N_CLONES_LARGE	5.55	1.050062654772261	400	gut
1298	PC_CLONES_SMALL	0.9083787006964388	0.019825359476648537	400	gut
1298	P20	0.8921250000000001	0.014447614080933193	400	gut
1301	N_CLONES	94.5	3.170588522490323	400	gut
1301	N_CLONES_SINGLE	37.1	4.800219293236289	400	gut
1301	N_CLONES_SMALL	74.25	3.4924731095675785	400	gut
1301	N_CLONES_LARGE	20.25	1.5852942612451615	400	gut
1301	PC_CLONES_SMALL	0.7855118382648636	0.017950361689887763	400	gut
1301	P20	0.653	0.0196616110064364	400	gut
1305	N_CLONES	39.8	4.785944332928951	400	gut
1305	N_CLONES_SINGLE	23.6	5.354781434430944	400	gut
1305	N_CLONES_SMALL	34	5.057563382541147	400	gut
1305	N_CLONES_LARGE	5.8	0.8944271909999159	400	gut
1305	PC_CLONES_SMALL	0.8515613528132523	0.03231144388461477	400	gut
1305	P20	0.9505	0.011964860832322385	400	gut
1403	N_CLONES	234.95	7.479621437085253	400	gut
1403	N_CLONES_SINGLE	151.55	11.39933054359357	400	gut
1403	N_CLONES_SMALL	224.75	8.403476724108396	400	gut
1403	N_CLONES_LARGE	10.2	2.0925934551223877	400	gut
1403	PC_CLONES_SMALL	0.956459002706312	0.00943801365666197	400	gut
1403	P20	0.257	0.014109533917476547	400	gut
1409	N_CLONES	220.55	7.207269721753534	400	gut
1409	N_CLONES_SINGLE	152.15	9.46614466067586	400	gut
1409	N_CLONES_SMALL	213.3	7.987490219086343	400	gut
1409	N_CLONES_LARGE	7.25	1.4823523268955432	400	gut
1409	PC_CLONES_SMALL	0.9669992058528885	0.007330330047053614	400	gut
1409	P20	0.35975	0.01804417094973216	400	gut
1412	N_CLONES	332.25	7.404657140504282	400	gut
1412	N_CLONES_SINGLE	301	10.814220657127938	400	gut
1412	N_CLONES_SMALL	328.45	7.287155245975439	400	gut
1412	N_CLONES_LARGE	3.8	0.8335087534664907	400	gut
1412	PC_CLONES_SMALL	0.9885678119911456	0.002465544077159355	400	gut
1412	P20	0.19125	0.01781668348841377	400	gut
1414	N_CLONES	175.3	7.03450144120504	400	gut
1414	N_CLONES_SINGLE	111.35	8.71341977701788	400	gut
1414	N_CLONES_SMALL	160.05	7.94371648404872	400	gut
1414	N_CLONES_LARGE	15.25	2.33677690757793	400	gut
1414	PC_CLONES_SMALL	0.9127406510672068	0.014507039328152352	400	gut
1414	P20	0.4475	0.016363470227758442	400	gut
402	N_CLONES	37.3	2.657660229362821	400	gut
402	N_CLONES_SINGLE	12.55	2.6650762801367187	400	gut
402	N_CLONES_SMALL	21.95	2.981963323576917	400	gut
402	N_CLONES_LARGE	15.35	0.9880869341680844	400	gut
402	PC_CLONES_SMALL	0.5861971602644978	0.0421643574506054	400	gut
402	P20	0.943375	0.010490440510544013	400	gut
938	N_CLONES	80.8	4.990517323674444	400	gut
938	N_CLONES_SINGLE	51.25	4.655217785622811	400	gut
938	N_CLONES_SMALL	72.1	5.035662293764555	400	gut
938	N_CLONES_LARGE	8.7	1.0809352675491624	400	gut
938	PC_CLONES_SMALL	0.8919969693885343	0.01388519296471404	400	gut
938	P20	0.824	0.015902664457319898	400	gut
940	N_CLONES	40.75	3.1434978841043333	400	gut
940	N_CLONES_SINGLE	20.65	3.9506828190633207	400	gut
940	N_CLONES_SMALL	33.8	3.473205708669851	400	gut
940	N_CLONES_LARGE	6.95	1.4680814547887788	400	gut
940	PC_CLONES_SMALL	0.8285707211051097	0.03554588873188984	400	gut
940	P20	0.9455	0.009304780887716873	400	gut
999	N_CLONES	241.8	10.704647293779022	400	gut
999	N_CLONES_SINGLE	212.75	12.936586225040003	400	gut
999	N_CLONES_SMALL	232.6	11.408214953315554	400	gut
999	N_CLONES_LARGE	9.2	1.3611140947574412	400	gut
999	PC_CLONES_SMALL	0.9617787000278161	0.006451062503317447	400	gut
999	P20	0.422875	0.023287038974728547	400	gut
dash	N_CLONES	102.45	5.286278165411395	400	gut
dash	N_CLONES_SINGLE	53.25	4.876096367943694	400	gut
dash	N_CLONES_SMALL	80.9	5.883965723181853	400	gut
dash	N_CLONES_LARGE	21.55	1.9324105480761042	400	gut
dash	PC_CLONES_SMALL	0.788967340387613	0.023708835319305725	400	gut
dash	P20	0.667875	0.01866031180988426	400	gut
1009	N_CLONES	39.7	4.0665516233367995	500	gut
1009	N_CLONES_SINGLE	26.25	4.050665962140313	500	gut
1009	N_CLONES_SMALL	32.8	4.360106227580869	500	gut
1009	N_CLONES_LARGE	6.9	0.8522416262267903	500	gut
1009	PC_CLONES_SMALL	0.8239918674174288	0.03105537472059691	500	gut
1009	P20	0.9605	0.008382312204561258	500	gut
1015	N_CLONES	82.6	4.500292388161837	500	gut
1015	N_CLONES_SINGLE	53.25	4.799945175125496	500	gut
1015	N_CLONES_SMALL	69.6	4.77272955115006	500	gut
1015	N_CLONES_LARGE	13	0.9733285267845752	500	gut
1015	PC_CLONES_SMALL	0.8420397906220689	0.016216994092583092	500	gut
1015	P20	0.8557	0.012982174013055882	500	gut
1026	N_CLONES	43.5	3.4412360080584268	500	gut
1026	N_CLONES_SINGLE	22.1	3.5078858530309587	500	gut
1026	N_CLONES_SMALL	35.65	3.773522715475624	500	gut
1026	N_CLONES_LARGE	7.85	1.0399898784932577	500	gut
1026	PC_CLONES_SMALL	0.8179776379261675	0.03194492596329152	500	gut
1026	P20	0.9493999999999999	0.00776225686118074	500	gut
1271	N_CLONES	67.75	4.505844158306784	500	gut
1271	N_CLONES_SINGLE	40	4.316431274486879	500	gut
1271	N_CLONES_SMALL	61.8	5.237516486596335	500	gut
1271	N_CLONES_LARGE	5.95	1.2763022245616642	500	gut
1271	PC_CLONES_SMALL	0.9112640460982911	0.021952883253815766	500	gut
1271	P20	0.889	0.012855471904785799	500	gut
1298	N_CLONES	72.4	6.3195602778407896	500	gut
1298	N_CLONES_SINGLE	46.65	6.998308066202408	500	gut
1298	N_CLONES_SMALL	65.85	6.563655913236801	500	gut
1298	N_CLONES_LARGE	6.55	1.3168942730211068	500	gut
1298	PC_CLONES_SMALL	0.9087358237784298	0.020823718330258312	500	gut
1298	P20	0.8837	0.013630847369111002	500	gut
1301	N_CLONES	105	4.129483209670112	500	gut
1301	N_CLONES_SINGLE	38.9	4.972556263077743	500	gut
1301	N_CLONES_SMALL	77.25	5.552382134581611	500	gut
1301	N_CLONES_LARGE	27.75	2.3591925469711477	500	gut
1301	PC_CLONES_SMALL	0.7349639262563445	0.028304376490735698	500	gut
1301	P20	0.6274	0.012650774887854032	500	gut
1305	N_CLONES	47	3.612842589838003	500	gut
1305	N_CLONES_SINGLE	28	3.0435436410107286	500	gut
1305	N_CLONES_SMALL	40.1	3.477748818144471	500	gut
1305	N_CLONES_LARGE	6.9	0.9679060415469871	500	gut
1305	PC_CLONES_SMALL	0.8527519165929399	0.02066574986314755	500	gut
1305	P20	0.9443	0.009608658376145624	500	gut
1403	N_CLONES	269.9	6.146458115729827	500	gut
1403	N_CLONES_SINGLE	165.3	7.733045971672482	500	gut
1403	N_CLONES_SMALL	253	7.16717664444177	500	gut
1403	N_CLONES_LARGE	16.9	3.1439164311914825	500	gut
1403	PC_CLONES_SMALL	0.9373302903957416	0.011843376768736164	500	gut
1403	P20	0.2466	0.013857925720076509	500	gut
1409	N_CLONES	258.5	8.274882730922917	500	gut
1409	N_CLONES_SINGLE	173.7	9.841373459987553	500	gut
1409	N_CLONES_SMALL	247.65	8.922325634992376	500	gut
1409	N_CLONES_LARGE	10.85	2.539685019840059	500	gut
1409	PC_CLONES_SMALL	0.9579533563922851	0.010081821663775534	500	gut
1409	P20	0.3538	0.010216601556702745	500	gut
1412	N_CLONES	402.05	7.401813433562289	500	gut
1412	N_CLONES_SINGLE	358.8	11.091011059222215	500	gut
1412	N_CLONES_SMALL	397.35	7.700136704186354	500	gut
