GROUP	INDIVIDUAL	Q	N_GROUP	D_SD	D	D_UPPER	D_LOWER	E	E_LOWER	E_UPPER	DIVTYPE
ABX_16	1271	2.5500000000000003	1	0.08827907858244437	2.0304462203323865	2.2034700349423586	1.8574224057224145	0.0179312599490651	0.01640325346158356	0.01945926643654664	solo
ABX_16	1271	2.6	1	0.08653463725504303	2.013338942138564	2.1829437145736863	1.843734169703442	0.01778018229468419	0.016282370024316175	0.019277994565052203	solo
ABX_16	1271	2.6500000000000004	1	0.08490838883899858	1.9973508509045441	2.163768235014304	1.8309334667947843	0.017638988394971026	0.01616932456214761	0.019108652227794447	solo
ABX_16	1271	2.7	1	0.0833891398104013	1.9823786006315829	2.1458183113617446	1.8189388899014212	0.017506765581592112	0.01606339815341035	0.018950133009773874	solo
ABX_16	1271	2.75	1	0.08196702775760294	1.968330865405727	2.128983287730424	1.8076784430810304	0.017382707337887816	0.01596395498813115	0.01880145968764449	solo
ABX_16	1271	2.8000000000000003	1	0.08063333397655706	1.9551266828282423	2.113165113375684	1.7970882522808007	0.017266098669388812	0.01587043098230053	0.018661766356477094	solo
ABX_16	1271	2.85	1	0.07938032612372341	1.942694057739742	2.098276638023284	1.7871114774562002	0.017156303773036095	0.015782324170585067	0.01853028337548712	solo
ABX_16	1271	2.9000000000000004	1	0.07820112558063816	1.9309687808310692	2.084240170519614	1.7776973911425245	0.017052755604107114	0.01569918656901598	0.01840632463919825	solo
ABX_16	1271	2.95	1	0.07708959521841802	1.9198934253612507	2.0709862555721212	1.7688005951503802	0.016954947016039657	0.015620617257476753	0.018289276774602563	solo
ABX_16	1271	3	1	0.07604024407006746	1.9094164920697234	2.058452631822691	1.7603803523167558	0.01686242320898771	0.015546256478268697	0.018178589939706724	solo
ABX_16	1271	3.0500000000000003	1	0.07504814607075254	1.89949167785825	2.046583341263426	1.7524000144530738	0.016774775271411226	0.015475780584210482	0.018073769958611968	solo
ABX_16	1271	3.1	1	0.07410887054745227	1.8900772482219914	2.035327965429939	1.7448265310140438	0.016691634637894567	0.015408897699598568	0.01797437157619057	solo
ABX_16	1271	3.1500000000000004	1	0.07321842255763757	1.8811354969571457	2.02464096817495	1.7376300257393411	0.016612668317721072	0.015345343981448678	0.017879992653993468	solo
ABX_16	1271	3.2	1	0.07237319151351213	1.872632279541873	2.0144811283545767	1.7307834307291694	0.0165375747740705	0.01528488038794692	0.01779026916019408	solo
ABX_16	1271	3.25	1	0.07156990680076461	1.8645366089163955	2.0048110486227824	1.7242621692100086	0.016466080354275582	0.015227289876893263	0.0177048708316579	solo
ABX_16	1271	3.3000000000000003	1	0.0708055993218947	1.8568203042858518	1.995596728860539	1.7180438797111646	0.016397936188332688	0.015172374969851765	0.01762349740681361	solo
