INDIVIDUAL	Q	N_GROUP	D_SD	D	D_UPPER	D_LOWER	E	E_LOWER	E_UPPER	DIVTYPE
2-03	0.5	NA	0.9812507575786406	74.93283257768634	76.85604872234312	73.00961643302956	0.570838533212103	0.5561874671133068	0.5854895993108992	gamma
2-03	0.55	NA	0.9105542717645964	71.4959163153256	73.28056989395331	69.71126273669789	0.5446560952808422	0.5310605992069498	0.5582515913547347	gamma
2-03	0.6000000000000001	NA	0.8546657598843918	68.32958963596352	70.00470374415649	66.65447552777054	0.5205350095679336	0.5077739854935746	0.5332960336422927	gamma
2-03	0.65	NA	0.8105024053971642	65.40939812770978	66.9979536516713	63.820842603748254	0.49828898229355045	0.4861873617618022	0.5103906028252986	gamma
2-03	0.7000000000000001	NA	0.7754709665410162	62.71310480085195	64.2329999663288	61.1932096353751	0.47774861200636826	0.4661700462822249	0.48932717773051165	gamma
2-03	0.75	NA	0.7474561212735478	60.22054202050101	61.68552909822116	58.755554942780854	0.45876026160603506	0.44759998585169924	0.4699205373603708	gamma
2-03	0.8	NA	0.7247795114375442	57.91345396185795	59.33399570100807	56.49291222270782	0.44118485816694053	0.430363167129139	0.452006549204742	gamma
2-03	0.8500000000000001	NA	0.7061405358203516	55.77533682000146	57.15934683823317	54.39132680176976	0.4248966756559212	0.41435328337271654	0.4354400679391258	gamma
2-03	0.9	NA	0.6905505463876644	53.79128210240817	55.14473630283245	52.43782790198389	0.4097821411342305	0.39947152315860596	0.420092759109855	gamma
2-03	0.9500000000000001	NA	0.6772693359733142	51.947826705655864	53.27525021199692	50.62040319931481	0.3957386926414348	0.3856263765678978	0.4058510087149718	gamma
2-03	1	NA	0.6657706633442544	50.2361214789834	51.54100800110148	48.93123495686532	0.3826989173216884	0.3727582880585163	0.3926395465848606	gamma
2-03	1.05	NA	0.6555878646839752	48.63525430421827	49.92018290770038	47.350325700736164	0.3705035065988533	0.36071491681701684	0.3802920963806897	gamma
2-03	1.1	NA	0.646492526254522	47.1452241588373	48.41232622657048	45.878122091104125	0.3591524526833448	0.3494996655019054	0.3688052398647841	gamma
2-03	1.1500000000000001	NA	0.638250180812346	45.75373963313731	47.004687000655686	44.50279226561893	0.348552119580837	0.339022398951907	0.3580818402097669	gamma
2-03	1.2000000000000002	NA	0.630706537717576	44.4526680358966	45.688830134637	43.2165059371562	0.33864055242630803	0.32922346601727914	0.34805763883533686	gamma
2-03	1.25	NA	0.6237498073749695	43.23463854652529	44.45716570434403	42.01211138870655	0.32936160028739137	0.3200483848973592	0.3386748156774235	gamma
2-03	1.3	NA	0.6172988315958463	42.09296395426981	43.302847431896325	40.8830804766433	0.3206643199734117	0.31144742417530014	0.32988121577152335	gamma
2-03	1.35	NA	0.6112944010855795	41.02157083274897	42.21968584282769	39.823455822670255	0.31250244410480066	0.3033752005261774	0.32162968768342387	gamma
2-03	1.4000000000000001	NA	0.6056929394296113	40.014937321800346	41.202073668772584	38.82780097482811	0.3048339071350241	0.295790299043393	0.31387751522665525	gamma
2-03	1.4500000000000002	NA	0.6004619288674352	39.068037718030695	40.24492147269832	37.89115396336307	0.297620423241237	0.28865491942714955	0.3065859270553244	gamma
2-03	1.5	NA	0.5955766108014726	38.176293126123184	39.3436018333285	37.00898441891787	0.29082711038579995	0.2819345493107069	0.29971967146089296	gamma
2-03	1.55	NA	0.5910176158646465	37.3355274849421	38.49390072626554	36.17715424361866	0.2844221553230193	0.2755976646526089	0.29324664599342976	gamma
2-03	1.6	NA	0.5867692702442675	36.54192834887271	37.691974985786324	35.391881711959094	0.2783765148312819	0.2696154562571159	0.2871375734054478	gamma
2-03	1.6500000000000001	NA	0.5828183931241937	35.79201187102944	36.934314931080365	34.64970881097851	0.27266364895503425	0.2639615809715887	0.2813657169384798	gamma
2-03	1.7000000000000002	NA	0.5791534501893237	35.08259149806523	36.21771140195841	33.94747159417204	0.26725928252175113	0.2586119358424905	0.2759066292010118	gamma
2-03	1.75	NA	0.5757639647304971	34.41074994466966	35.53922657913743	33.282273310201894	0.2621411916435815	0.2535444534098325	0.27073792987733053	gamma
2-03	1.8	NA	0.5726401145579127	33.773814068666134	34.89616806930253	32.651460068029735	0.25728901231576723	0.24873891632408307	0.26583910830745144	gamma
2-03	1.85	NA	0.5697724623585336	33.16933231470106	34.28606582030649	32.05259880909563	0.25268406858260245	0.24417678953816335	0.26119134762704155	gamma
2-03	1.9000000000000001	NA	0.5671517812967137	32.59505443602085	33.706651501130146	31.483457370911555	0.24830921805787284	0.23984106843184597	0.2567773676838997	gamma
2-03	1.9500000000000002	NA	0.5647689480004178	32.048913240126616	33.15584003779401	30.941986442459225	0.24414871286320058	0.2357161413479235	0.25258128437847766	gamma
2-03	2	NA	0.5626148826437615	31.529008135668867	32.63171304281687	30.426303228520865	0.24018807428824138	0.23178766514703406	0.24858848342944867	gamma
2-03	2.0500000000000003	NA	0.5606805213852288	31.03359028531504	32.13250391406323	29.93467665656685	0.23641397968518632	0.2280424525136884	0.24478550685668427	gamma
2-03	2.1	NA	0.5589568104953038	30.5610491930131	31.656584410497278	29.465513975528925	0.23281416029049806	0.2244683698656864	0.24115995071530974	gamma
2-03	2.15	NA	0.5574347145016569	30.10990057456951	31.202452538725126	29.017348610413897	0.22937730882293866	0.22105424483052913	0.2377003728153482	gamma
2-03	2.2	NA	0.5561052328808289	29.678775378205792	30.768721606266475	28.58882915014511	0.22609299584213816	0.2177897823547636	0.23439620932951272	gamma
2-03	2.25	NA	0.5549594214409085	29.266409837143524	30.35411031604889	28.17870935823816	0.2229515939691587	0.214665488605282	0.2312376993330354	gamma
2-03	2.3000000000000003	NA	0.5539884157226426	28.871636449638604	29.957433792307388	27.78583910696982	0.21994420917236954	0.2116726019057944	0.22821581643894465	gamma
2-03	2.35	NA	0.5531834546090582	28.49337579353335	29.57759544141055	27.409156145656148	0.21706261841068158	0.20880303002754783	0.22532220679381534	gamma
2-03	2.4000000000000004	NA	0.5525359029587543	28.13062909257144	29.213579562535916	27.047678622606963	0.21429921300371332	0.2060492932215541	0.22254913278587254	gamma
2-03	2.45	NA	0.552037272527211	27.782471460639115	28.86444463291617	26.70049828836206	0.21164694716640092	0.2034044724408238	0.21988942189197802	gamma
2-03	2.5	NA	0.5516792407593851	27.448045757933123	28.52931720083992	26.366774315026326	0.20909929120526802	0.20086216225604356	0.21733642015449248	gamma
2-03	2.5500000000000003	NA	0.5514536672598078	27.126556999966322	28.20738632693808	26.045727672994563	0.20665018892621448	0.19841642801744952	0.21488394983497944	gamma
2-03	2.6	NA	0.5513526078987468	26.81726726642892	27.8978985206927	25.736636012165143	0.2042940188502066	0.1960617668598984	0.2125262708405148	gamma
2-03	2.6500000000000004	NA	0.5513683266140309	26.519491062337718	27.600153124717334	25.4388289999581	0.20202555887449886	0.19379307218787595	0.2102580455611218	gamma
2-03	2.7	NA	0.5514933050318187	26.232591088715377	27.313498104292705	25.15168407313805	0.19983995405365648	0.19160560131287174	0.2080743067944412	gamma
2-03	2.75	NA	0.5517202500668678	25.955974384324815	27.037326203997306	24.874622564652324	0.19773268720727682	0.18949494594762106	0.2059704284669326	gamma
2-03	2.8000000000000003	NA	0.5520420996813471	25.689088803805156	26.771071437130466	24.607106170479845	0.19569955209041925	0.18745700529054946	0.20394209889028908	gamma
2-03	2.85	NA	0.5524520269869231	25.43141980097127	26.51420587705179	24.34863372489075	0.1937366288887716	0.18548796145969124	0.20198529631785195	gamma
2-03	2.9000000000000004	NA	0.5529434428719019	25.1824874890961	26.26623672261261	24.09873825557959	0.19184026182387254	0.18358425705868597	0.2000962665890591	gamma
2-03	2.95	NA	0.5535099973268144	24.94184395273548	26.026703612578896	23.85698429289206	0.1900070386745854	0.1817425746784598	0.19827150267071103	gamma
2-03	3	NA	0.5541455796301579	24.709070788114907	25.795176166382088	23.622965409847726	0.18823377203975764	0.1799598181571116	0.1965077259224037	gamma
2-03	3.0500000000000003	NA	0.554844317542649	24.48377685130721	25.571251730717506	23.39630197189691	0.1865174821838316	0.17823309543755456	0.19480186893010867	gamma
2-03	3.1	NA	0.555600575644366	24.265596195416823	25.354553313469502	23.176639077364143	0.18485538132230872	0.1765597028778083	0.19315105976680913	gamma
2-03	3.1500000000000004	NA	0.5564089529353671	24.05418617977464	25.144727688203602	22.963644671345676	0.18324485921759026	0.17493711088266506	0.1915526075525155	gamma
2-03	3.2	NA	0.5572642798070981	23.84922573575758	24.941443654050143	22.75700781746502	0.18168346996798596	0.173362950737918	0.19000398919805392	gamma
2-03	3.25	NA	0.5581616144796088	23.650413775298038	24.744390437230802	22.556437113365273	0.18016891988373432	0.17183500253957762	0.18850283722789105	gamma
2-03	3.3000000000000003	NA	0.5590962389882412	23.45746772945673	24.553276221765483	22.36165923714798	0.17869905635384656	0.17035118412063854	0.1870469285870546	gamma
2-03	3.35	NA	0.5600636547932595	23.270122205612697	24.367826798057358	22.172417613168037	0.177271857616576	0.16890954088710147	0.1856341743460505	gamma
2-03	3.4000000000000004	NA	0.5610595780767459	23.088127752889328	24.187784319100988	21.988471186677668	0.17588542335443008	0.1675082364832074	0.18426261022565277	gamma
2-03	3.45	NA	0.562079934782983	22.91124972639725	24.01290615500452	21.809593297789984	0.1745379660419695	0.16614554421328873	0.18293038787065027	gamma
2-03	3.5	NA	0.5631208554514331	22.739267241743487	23.84296383737168	21.635570646115294	0.1732278029812558	0.16481983915436582	0.18163576680814578	gamma
2-03	3.5500000000000003	NA	0.5641786698851499	22.571972212041352	23.677742085861958	21.466202338220747	0.17195334896579023	0.16352959089969182	0.18037710703188864	gamma
2-03	3.6	NA	0.5652499016920488	22.409168460365724	23.517037909946946	21.3012990107845	0.17071310951919527	0.1622733568789385	0.179152862159452	gamma
2-03	3.6500000000000004	NA	0.5663312627317031	22.250670901239438	23.360659779512666	21.14068202296621	0.1695056746597757	0.16104977620567243	0.17796157311387897	gamma
2-03	3.7	NA	0.567419647496232	22.096304785317916	23.20842685853094	20.98418271210489	0.16832971314652403	0.15985756400725912	0.17680186228578892	gamma
2-03	3.75	NA	0.5685121274502831	21.945905001964412	23.060168296541214	20.83164170738761	0.16718396716613654	0.15869550619638914	0.17567242813588393	gamma
2-03	3.8000000000000003	NA	0.5696059453520188	21.799315434883923	22.91572257315377	20.682908296614077	0.16606724742423076	0.15756245464708898	0.1745720402013725	gamma
2-03	3.85	NA	0.5706985095743404	21.65638836641522	22.774936891211617	20.537839841618826	0.16497842860724032	0.15645732274140556	0.17349953447307506	gamma
2-03	3.9000000000000004	NA	0.5717873884432458	21.51698392647059	22.637666614633567	20.396301238307615	0.16391644518443635	0.15537908125596195	0.17245380911291072	gamma
2-03	3.95	NA	0.5728703046081951	21.380969582467145	22.5037747473117	20.25816441762259	0.1628802875222228	0.15432675456030862	0.17143382048413702	gamma
2-03	4	NA	0.5739451294575882	21.24821966691447	22.373131449753522	20.123307884075416	0.16186899828529777	0.15329941710146736	0.17043857946912822	gamma
2-04	0	NA	3.6955980195850713	137.872	145.1152390197243	130.62876098027573	1	0.9474640317125719	1.052535968287428	gamma
2-04	0.05	NA	3.2143636913598765	129.10271654947596	135.40275361775454	122.80267948119737	0.9363954722458218	0.8907006461152182	0.9820902983764255	gamma
2-04	0.1	NA	2.7947451677588404	121.05474350863457	126.53234338340926	115.57714363385989	0.8780226841464153	0.8382930807840597	0.9177522875087708	gamma
2-04	0.15000000000000002	NA	2.4318393460468473	113.67597851411038	118.44229604854964	108.90966097967113	0.8245037318245211	0.7899331334837466	0.8590743301652956	gamma
2-04	0.2	NA	2.1205834552439753	106.91460868543014	111.07087588391984	102.75834148694044	0.7754628110524989	0.7453169714440961	0.8056086506609016	gamma
2-04	0.25	NA	1.8558975130966302	100.72003170756223	104.35752399222908	97.08253942289538	0.730532897960153	0.7041497869247952	0.7569160089955108	gamma
2-04	0.30000000000000004	NA	1.6327960499156402	95.0436102383488	98.24383169028272	91.84338878641489	0.6893612208305442	0.6661496807648752	0.7125727608962132	gamma
2-04	0.35000000000000003	NA	1.446466910771234	89.83924888415439	92.67427193409492	87.00422583421386	0.6516134449645641	0.6310507270092103	0.6721761629199178	gamma
2-04	0.4	NA	1.2923210233331905	85.06379688295969	87.5966995451567	82.53089422076269	0.6169765933834258	0.5986051861201889	0.6353480006466627	gamma
2-04	0.45	NA	1.1660222982635022	80.6772904116545	82.96265212142158	78.39192870188741	0.5851608043087392	0.5685848373990905	0.6017367712183879	gamma
2-04	0.5	NA	1.0635094366045923	76.64305563154447	78.72749582450795	74.55861543858099	0.555900078562322	0.540781416375921	0.571018740748723	gamma
2-04	0.55	NA	0.9810196923649557	72.927697342901	74.85046060806087	71.00493407774113	0.5289521972764665	0.5150061947149611	0.5428981998379719	gamma
2-04	0.6000000000000001	NA	0.9151186064190412	69.50099897845787	71.29459848862167	67.70739946829407	0.504097996536337	0.4910888321652987	0.5171071609073754	gamma
2-04	0.65	NA	0.8627320483619628	66.33575836351422	68.02668210661213	64.6448346204163	0.481140176130862	0.468875729810377	0.49340462245134703	gamma
2-04	0.7000000000000001	NA	0.8211717075614143	63.40758096519335	65.01704793713698	61.798113993249714	0.45990179996803804	0.44822816810701016	0.4715754318290659	gamma
2-04	0.75	NA	0.7881451650937381	60.694648912723586	62.239385050896686	59.14991277455049	0.4402246207549291	0.42902048838451956	0.4514287531253386	gamma
2-04	0.8	NA	0.7617461555633744	58.17748041479951	59.67047544506557	56.68448538453345	0.4219673350266878	0.41113848631000816	0.4327961837433675	gamma
2-04	0.8500000000000001	NA	0.7404264213120226	55.838690691533735	57.28989981050718	54.38748157256029	0.40500384916106047	0.39447807801845397	0.41552962030366697	gamma
2-04	0.9	NA	0.7229546628785124	53.6627623980653	55.07972749976248	52.24579729636812	0.38922161423686674	0.3789442185241972	0.3994990099495363	gamma
2-04	0.9500000000000001	NA	0.7083693770477053	51.635830853386345	53.02420932015092	50.24745238662177	0.3745200682762732	0.3644500144091749	0.3845901221433715	gamma
2-04	1	NA	0.695954579835339	49.749139197172205	51.11318510852517	48.38509328581924	0.3608356968577536	0.3509421295536384	0.37072926416186874	gamma
2-04	1.05	NA	0.6850804510223678	47.98060118708171	49.32333419759801	46.63786817656541	0.34800830616137945	0.33826932355057887	0.35774728877218004	gamma
2-04	1.1	NA	0.6753966901047315	46.33116318048256	47.6549163683654	45.007409992599726	0.33604476021587093	0.3264434402387702	0.3456460801929717	gamma
2-04	1.1500000000000001	NA	0.6665695923717239	44.788145817921176	46.0945982121593	43.481693423683055	0.3248530943042907	0.31537725878846357	0.33432892982011786	gamma
