REPLICATE	NSEQS	NREADS	NREADS_RAW	STAGE	CLUSTER_BARCODES	CLUSTER_SETS	NREADS_PC
1298	10392	934772	1151409	presto_split	0.9	0.75	0.811850524010148
1301	15531	1099758	1407185	presto_split	0.9	0.75	0.781530502385969
1305	16070	1025758	1227708	presto_split	0.9	0.75	0.835506488513555
1309	9220	2235015	2645261	presto_split	0.9	0.75	0.844912846029182
1403	6536	998871	1236189	presto_split	0.9	0.75	0.80802450110784
1409	6231	948782	1121785	presto_split	0.9	0.75	0.845778825710809
1412	6591	881004	1060432	presto_split	0.9	0.75	0.83079725998461
1414	9831	967735	1159283	presto_split	0.9	0.75	0.834770284736341
402	6178	1070439	1302770	presto_split	0.9	0.75	0.821663839357676
938	9928	853556	1040224	presto_split	0.9	0.75	0.820550189190021
940	11331	1091852	1351036	presto_split	0.9	0.75	0.808159072001042
999	19802	752924	904879	presto_split	0.9	0.75	0.832071470329182
dash	9578	687357	862614	presto_split	0.9	0.75	0.796830331990902
1009	5551	1532347	1796877	changeo_makedb	0.9	0.75	0.8527834682062267
1015	4488	685281	825963	changeo_makedb	0.9	0.75	0.8296751791545142
1026	7630	1001881	1260031	changeo_makedb	0.9	0.75	0.7951240882168772
1271	15008	1669001	2009279	changeo_makedb	0.9	0.75	0.8306467145677628
1274	17315	1284951	1574800	changeo_makedb	0.9	0.75	0.8159455168910338
1298	10345	934282	1151409	changeo_makedb	0.9	0.75	0.8114249584639341
1301	15430	1096900	1407185	changeo_makedb	0.9	0.75	0.7794994972231796
1305	16026	1025022	1227708	changeo_makedb	0.9	0.75	0.8349069974293561
1309	8876	2210924	2645261	changeo_makedb	0.9	0.75	0.835805616156591
1403	6520	998341	1236189	changeo_makedb	0.9	0.75	0.8075957640781466
1409	6203	947750	1121785	changeo_makedb	0.9	0.75	0.8448588633294258
1412	6576	880914	1060432	changeo_makedb	0.9	0.75	0.8307123889131977
1414	9790	966985	1159283	changeo_makedb	0.9	0.75	0.8341233331291842
402	6148	1069460	1302770	changeo_makedb	0.9	0.75	0.8209123636559025
938	9917	853446	1040224	changeo_makedb	0.9	0.75	0.8204444427354108
940	11284	1090904	1351036	changeo_makedb	0.9	0.75	0.8074573882561235
999	19795	752883	904879	changeo_makedb	0.9	0.75	0.8320261604037666
