REPLICATE	NSEQS	NREADS	NREADS_RAW	STAGE	CLUSTER_BARCODES	CLUSTER_SETS	NREADS_PC
3-04A	357177	357177	357177	presto_raw	0.9	0.75	1
3-04B	770541	770541	770541	presto_raw	0.9	0.75	1
3-05A	341207	341207	341207	presto_raw	0.9	0.75	1
3-05B	152791	152791	152791	presto_raw	0.9	0.75	1
3-06A	272566	272566	272566	presto_raw	0.9	0.75	1
3-06B	328377	328377	328377	presto_raw	0.9	0.75	1
3-07A	321444	321444	321444	presto_raw	0.9	0.75	1
3-07B	178218	178218	178218	presto_raw	0.9	0.75	1
3-08A	255503	255503	255503	presto_raw	0.9	0.75	1
3-08B	382493	382493	382493	presto_raw	0.9	0.75	1
3-09A	361700	361700	361700	presto_raw	0.9	0.75	1
3-09B	412394	412394	412394	presto_raw	0.9	0.75	1
3-10A	342708	342708	342708	presto_raw	0.9	0.75	1
3-10B	448251	448251	448251	presto_raw	0.9	0.75	1
4-01A	358591	358591	358591	presto_raw	0.9	0.75	1
4-01B	586988	586988	586988	presto_raw	0.9	0.75	1
4-02A	329617	329617	329617	presto_raw	0.9	0.75	1
4-02B	404162	404162	404162	presto_raw	0.9	0.75	1
1-01A	303291	303291	320291	presto_filter	0.9	0.75	0.946923266654386
1-01B	882480	882480	922955	presto_filter	0.9	0.75	0.956146290989268
1-02A	321832	321832	349209	presto_filter	0.9	0.75	0.921602822378576
1-02B	397858	397858	420716	presto_filter	0.9	0.75	0.945668812215366
1-03A	355965	355965	372621	presto_filter	0.9	0.75	0.955300425901922
1-03B	562926	562926	614354	presto_filter	0.9	0.75	0.91628930551441
1-04A	409624	409624	424559	presto_filter	0.9	0.75	0.964822321514795
1-04B	774207	774207	810654	presto_filter	0.9	0.75	0.955040004736916
1-05A	361852	361852	395341	presto_filter	0.9	0.75	0.915290850177442
1-05B	358212	358212	381863	presto_filter	0.9	0.75	0.938064174848048
1-06A	413021	413021	436432	presto_filter	0.9	0.75	0.946358195549364
1-06B	383566	383566	405393	presto_filter	0.9	0.75	0.946158419114292
1-07A	363927	363927	385238	presto_filter	0.9	0.75	0.944680950477367
1-07B	881647	881647	922751	presto_filter	0.9	0.75	0.955454938547886
1-08A	189454	189454	203241	presto_filter	0.9	0.75	0.932164277877003
1-08B	739998	739998	800459	presto_filter	0.9	0.75	0.924467087008829
1-09A	318096	318096	333424	presto_filter	0.9	0.75	0.954028504246845
1-09B	515976	515976	538389	presto_filter	0.9	0.75	0.958370249020689
1-10A	254424	254424	274512	presto_filter	0.9	0.75	0.926822871131317
1-10B	263700	263700	277012	presto_filter	0.9	0.75	0.951944320101656
2-01A	286606	286606	298330	presto_filter	0.9	0.75	0.960701236885328
2-01B	599766	599766	647718	presto_filter	0.9	0.75	0.92596778227562
2-02A	319096	319096	328768	presto_filter	0.9	0.75	0.970581078450457
2-02B	313385	313385	327621	presto_filter	0.9	0.75	0.956547351970722
2-03A	286166	286166	311940	presto_filter	0.9	0.75	0.91737513624415
2-03B	426001	426001	445649	presto_filter	0.9	0.75	0.955911490881837
2-04A	289013	289013	304485	presto_filter	0.9	0.75	0.949186331017948
2-04B	441286	441286	460547	presto_filter	0.9	0.75	0.9581779926913
2-05A	275403	275403	290004	presto_filter	0.9	0.75	0.94965241858733
2-05B	449211	449211	469044	presto_filter	0.9	0.75	0.957716120449254
2-06A	288810	288810	305533	presto_filter	0.9	0.75	0.945266141464261
2-06B	614136	614136	658058	presto_filter	0.9	0.75	0.933255123408575
2-07A	367886	367886	388333	presto_filter	0.9	0.75	0.947346735919945
2-07B	316018	316018	329647	presto_filter	0.9	0.75	0.958655774206955
2-08A	345516	345516	375495	presto_filter	0.9	0.75	0.920161386969201
2-08B	464372	464372	483270	presto_filter	0.9	0.75	0.960895565625841
2-09A	327330	327330	343078	presto_filter	0.9	0.75	0.954097901934837
2-09B	421590	421590	453119	presto_filter	0.9	0.75	0.93041783725688
2-10A	387277	387277	401594	presto_filter	0.9	0.75	0.964349566975602
2-10B	481807	481807	500590	presto_filter	0.9	0.75	0.962478275634751
3-01A	274908	274908	301764	presto_filter	0.9	0.75	0.911003300592516
3-01B	383312	383312	401622	presto_filter	0.9	0.75	0.95440986798532
3-02A	339853	339853	360544	presto_filter	0.9	0.75	0.942611720067454
3-02B	437904	437904	457738	presto_filter	0.9	0.75	0.956669535848018
3-03A	350337	350337	371414	presto_filter	0.9	0.75	0.943252004501715
3-03B	471042	471042	490254	presto_filter	0.9	0.75	0.960812150436304
3-04A	335414	335414	357177	presto_filter	0.9	0.75	0.939069424962974
3-04B	723691	723691	770541	presto_filter	0.9	0.75	0.939198563087493
3-05A	324474	324474	341207	presto_filter	0.9	0.75	0.95095938828922
3-05B	146920	146920	152791	presto_filter	0.9	0.75	0.961574961876027
3-06A	250607	250607	272566	presto_filter	0.9	0.75	0.919436026503673
3-06B	313413	313413	328377	presto_filter	0.9	0.75	0.954430426004257
3-07A	307364	307364	321444	presto_filter	0.9	0.75	0.956197658067968
3-07B	164383	164383	178218	presto_filter	0.9	0.75	0.922370355407422
3-08A	247144	247144	255503	presto_filter	0.9	0.75	0.967284141477791
3-08B	368494	368494	382493	presto_filter	0.9	0.75	0.963400637397286
3-09A	330936	330936	361700	presto_filter	0.9	0.75	0.914946087918164
3-09B	394212	394212	412394	presto_filter	0.9	0.75	0.955911094729797
3-10A	325254	325254	342708	presto_filter	0.9	0.75	0.949070345600336
3-10B	430011	430011	448251	presto_filter	0.9	0.75	0.959308512418266
4-01A	339501	339501	358591	presto_filter	0.9	0.75	0.946763861892797
4-01B	565250	565250	586988	presto_filter	0.9	0.75	0.962966874961669
4-02A	310915	310915	329617	presto_filter	0.9	0.75	0.943261421589299
4-02B	378123	378123	404162	presto_filter	0.9	0.75	0.935572864346475
1-01A	296755	296755	320291	presto_mask	0.9	0.75	0.92651682376339
1-01B	851087	851087	922955	presto_mask	0.9	0.75	0.922132715029443
1-02A	315076	315076	349209	presto_mask	0.9	0.75	0.902256241963981
1-02B	387308	387308	420716	presto_mask	0.9	0.75	0.920592513714715
1-03A	347339	347339	372621	presto_mask	0.9	0.75	0.932150898634269
1-03B	543331	543331	614354	presto_mask	0.9	0.75	0.884394013874737
1-04A	400734	400734	424559	presto_mask	0.9	0.75	0.94388294677536
1-04B	749096	749096	810654	presto_mask	0.9	0.75	0.924063780601835
1-05A	356660	356660	395341	presto_mask	0.9	0.75	0.902157883953347
1-05B	348001	348001	381863	presto_mask	0.9	0.75	0.91132421837151
1-06A	405332	405332	436432	presto_mask	0.9	0.75	0.928740330681527
1-06B	372195	372195	405393	presto_mask	0.9	0.75	0.918109094138281
1-07A	357532	357532	385238	presto_mask	0.9	0.75	0.928080822764109
1-07B	852013	852013	922751	presto_mask	0.9	0.75	0.923340099333406
1-08A	186573	186573	203241	presto_mask	0.9	0.75	0.917988988442293
1-08B	712975	712975	800459	presto_mask	0.9	0.75	0.890707706453422
1-09A	312349	312349	333424	presto_mask	0.9	0.75	0.936792192523634
1-09B	495771	495771	538389	presto_mask	0.9	0.75	0.920841621949928
1-10A	250422	250422	274512	presto_mask	0.9	0.75	0.912244273474384
1-10B	255260	255260	277012	presto_mask	0.9	0.75	0.921476325935339
2-01A	280538	280538	298330	presto_mask	0.9	0.75	0.940361344819495
2-01B	579583	579583	647718	presto_mask	0.9	0.75	0.894807616895007
2-02A	312601	312601	328768	presto_mask	0.9	0.75	0.950825506131984
2-02B	303026	303026	327621	presto_mask	0.9	0.75	0.924928499699348
2-03A	280257	280257	311940	presto_mask	0.9	0.75	0.898432390844393
2-03B	409872	409872	445649	presto_mask	0.9	0.75	0.919719330684014
2-04A	282700	282700	304485	presto_mask	0.9	0.75	0.928452961558041
2-04B	425940	425940	460547	presto_mask	0.9	0.75	0.924856746434132
2-05A	268962	268962	290004	presto_mask	0.9	0.75	0.927442380105102
2-05B	433307	433307	469044	presto_mask	0.9	0.75	0.923808853753592
2-06A	283031	283031	305533	presto_mask	0.9	0.75	0.926351654322119
2-06B	593155	593155	658058	presto_mask	0.9	0.75	0.901371915545438
2-07A	359435	359435	388333	presto_mask	0.9	0.75	0.925584485480245
2-07B	306349	306349	329647	presto_mask	0.9	0.75	0.929324398523269
2-08A	338031	338031	375495	presto_mask	0.9	0.75	0.900227699436744
2-08B	445215	445215	483270	presto_mask	0.9	0.75	0.921255198957105
2-09A	320428	320428	343078	presto_mask	0.9	0.75	0.933980027865383
2-09B	408473	408473	453119	presto_mask	0.9	0.75	0.901469591873217
2-10A	376134	376134	401594	presto_mask	0.9	0.75	0.936602638485635
2-10B	460138	460138	500590	presto_mask	0.9	0.75	0.919191354202042
3-01A	268467	268467	301764	presto_mask	0.9	0.75	0.88965880621943
3-01B	369193	369193	401622	presto_mask	0.9	0.75	0.919254921294152
3-02A	332606	332606	360544	presto_mask	0.9	0.75	0.922511538120174
3-02B	424248	424248	457738	presto_mask	0.9	0.75	0.926835875544526
3-03A	340029	340029	371414	presto_mask	0.9	0.75	0.915498608022315
3-03B	456081	456081	490254	presto_mask	0.9	0.75	0.930295316305425
3-04A	327793	327793	357177	presto_mask	0.9	0.75	0.917732664757249
3-04B	696692	696692	770541	presto_mask	0.9	0.75	0.904159545046922
3-05A	318446	318446	341207	presto_mask	0.9	0.75	0.933292693291755
3-05B	142267	142267	152791	presto_mask	0.9	0.75	0.931121597476291
3-06A	242395	242395	272566	presto_mask	0.9	0.75	0.889307543860936
3-06B	301316	301316	328377	presto_mask	0.9	0.75	0.917591670549399
3-07A	299434	299434	321444	presto_mask	0.9	0.75	0.931527731113351
3-07B	159630	159630	178218	presto_mask	0.9	0.75	0.895700770965896
3-08A	242612	242612	255503	presto_mask	0.9	0.75	0.949546580666372
3-08B	356222	356222	382493	presto_mask	0.9	0.75	0.931316390103871
3-09A	322040	322040	361700	presto_mask	0.9	0.75	0.890351119712469
3-09B	381827	381827	412394	presto_mask	0.9	0.75	0.925879135001964
3-10A	319325	319325	342708	presto_mask	0.9	0.75	0.931769903241243
3-10B	414011	414011	448251	presto_mask	0.9	0.75	0.923614225065867
4-01A	329046	329046	358591	presto_mask	0.9	0.75	0.917608082746081
4-01B	540851	540851	586988	presto_mask	0.9	0.75	0.921400437487649
4-02A	303833	303833	329617	presto_mask	0.9	0.75	0.921775879278071
4-02B	365714	365714	404162	presto_mask	0.9	0.75	0.904869829424835
1-01A	292201	292201	320291	presto_correct	0.9	0.75	0.912298503548336
1-01B	834010	834010	922955	presto_correct	0.9	0.75	0.903630187820641
1-02A	313108	313108	349209	presto_correct	0.9	0.75	0.896620648379624
1-02B	382879	382879	420716	presto_correct	0.9	0.75	0.910065222145105
1-03A	342762	342762	372621	presto_correct	0.9	0.75	0.919867640310127
1-03B	533968	533968	614354	presto_correct	0.9	0.75	0.869153615016749
1-04A	395814	395814	424559	presto_correct	0.9	0.75	0.932294451419002
1-04B	737355	737355	810654	presto_correct	0.9	0.75	0.909580412851846
