GROUP	Q	N_GROUP	D_SD	D	D_UPPER	D_LOWER	E	E_LOWER	E_UPPER	DIVTYPE
YI_16	1.4000000000000001	NA	1.231312320682334	54.029200382261536	56.44252818451935	51.615872580003725	0.3667347726608623	0.3503537931783725	0.38311575214335214	gamma
YI_16	1.4500000000000002	NA	1.2254903024072419	52.91458994940657	55.316506805527865	50.51267309328527	0.35916911555680686	0.34286559031586816	0.3754726407977456	gamma
YI_16	1.5	NA	1.220328434921836	51.8585141455089	54.25031392726583	49.46671436375197	0.3520007747870959	0.3357659213558593	0.3682356282183325	gamma
YI_16	1.55	NA	1.215709678648076	50.856810983507046	53.23955816931404	48.474063797700055	0.345201499972897	0.3290280929760737	0.3613749069697203	gamma
YI_16	1.6	NA	1.2115394646104387	49.90568418341038	52.28025789989578	47.53111046692498	0.33874552305046923	0.3226275952277277	0.3548634508732108	gamma
YI_16	1.6500000000000001	NA	1.2077413800174983	49.0016666818704	51.36879628934339	46.6345370743974	0.33260931058456067	0.31654191124654607	0.34867670992257527	gamma
YI_16	1.7000000000000002	NA	1.2042536909687038	48.14158781015729	50.50188167270538	45.7812939476092	0.32677134098189237	0.3107503407270267	0.34279234123675806	gamma
YI_16	1.75	NA	1.2010265419908908	47.32254384871137	49.676512615490196	44.96857508193254	0.3212119046238681	0.3052338373116073	0.337189971936129	gamma
YI_16	1.8	NA	1.1980197002006971	46.54187166307955	48.88994712824238	44.19379619791671	0.3159129249148451	0.2999748596498674	0.3318509901798227	gamma
YI_16	1.85	NA	1.1952007364591495	45.79712513237416	48.13967553012984	43.45457473461848	0.310857798285248	0.2949572355989716	0.3267583609715245	gamma
YI_16	1.9000000000000001	NA	1.1925435566813196	45.08605409424668	47.423396515337366	42.74871167315599	0.30603125127606773	0.2901660388471474	0.3218964637049881	gamma
YI_16	1.9500000000000002	NA	1.190027213675004	44.406585547333826	46.73899602675939	42.074175067908264	0.301419212946437	0.2855874771281742	0.3172509487646998	gamma
YI_16	2	NA	1.1876349439034657	43.75680687140852	46.08452858824056	41.429085154576484	0.2970087009768099	0.28120879113915825	0.31280861081446165	gamma
YI_16	2.0500000000000003	NA	1.1853533848629239	43.134950845725356	45.45820078900933	40.81170090244138	0.2927877199777727	0.2770181632610988	0.30855727669444655	gamma
YI_16	2.1	NA	1.1831719377953869	42.53938226635835	44.85835665195577	40.22040788076093	0.28874517065235605	0.27300463519946333	0.3044857061052488	gamma
YI_16	2.15	NA	1.1810822476387768	41.96858598303608	44.2834646511877	39.65370731488446	0.28487076859349114	0.26915803370021696	0.3005835034867653	gamma
YI_16	2.2	NA	1.1790777778088783	41.42115619467077	43.732106174147695	39.11020621519385	0.2811549716251198	0.2654689035478965	0.2968410397023431	gamma
YI_16	2.25	NA	1.1771534619130524	40.89578686019515	43.202965249821375	38.58860847056893	0.2775889147136953	0.26192844711059854	0.293249382316792	gamma
YI_16	2.3000000000000003	NA	1.1753054180599074	40.39126309733625	42.69481938756846	38.08770680710404	0.2741643515855167	0.25852846975804544	0.28980023341298805	gamma
YI_16	2.35	NA	1.173530714250669	39.90645345652305	42.20653139120593	37.60637552184018	0.27087360228422236	0.2552613305402354	0.2864858740282093	gamma
YI_16	2.4000000000000004	NA	1.1718271755751635	39.44030297026302	41.73704203049564	37.1435639100304	0.26770950599194315	0.25211989757359854	0.2832991144102877	gamma
YI_16	2.45	NA	1.1701932257126557	38.99182689008988	41.28536346743944	36.698290312740326	0.26466537851749455	0.2490975076378098	0.2802332493971793	gamma
