INDIVIDUAL	REPLICATE	Q	N_GROUP	D_SD	D	D_UPPER	D_LOWER	E	E_LOWER	E_UPPER	DIVTYPE
2-03	2-03orig	2	1	13.772380295571887	147.57193636851588	174.56530572922588	120.57856700780587	0.10768239354929551	0.0879854871167415	0.12737929998184952	solo
2-03	2-03orig	2.0500000000000003	1	12.92583403506745	137.3784717932106	162.71264097208484	112.04430261433636	0.10024428105283979	0.08175808345391752	0.11873047865176206	solo
2-03	2-03orig	2.1	1	12.148764299546473	128.3066602654821	152.11780074925915	104.49551978170504	0.09362463233660658	0.07624978002031838	0.11099948465289478	solo
2-03	2-03orig	2.15	1	11.437927297174568	120.22012950960698	142.63805506985668	97.80220394935726	0.08772393733503035	0.07136570593858547	0.1040821687314752	solo
2-03	2-03orig	2.2	1	10.789189145671724	112.99759933677984	134.1440214846869	91.8511771888728	0.08245369859160243	0.0670232759250318	0.09788412125817306	solo
2-03	2-03orig	2.25	1	10.197949987157205	106.53212253091303	126.51973722188185	86.5445078399442	0.07773587733760329	0.06315102981015852	0.09232072486504805	solo
2-03	2-03orig	2.3000000000000003	1	9.659451976235419	100.72998049035475	119.66215847417041	81.79780250653909	0.07350208764821349	0.059687386218074304	0.08731678907835269	solo
2-03	2-03orig	2.35	1	9.168992277156546	95.50941484836866	113.48030948612139	77.53852021061594	0.06969267091326976	0.056579412414153984	0.08280592941238553	solo
2-03	2-03orig	2.4000000000000004	1	8.72206211081837	90.79931845640307	107.89424606452847	73.70439084827767	0.06625574065528228	0.053781670261586395	0.07872981104897817	solo
2-03	2-03orig	2.45	1	8.314430543956107	86.53796450034606	102.8339489184598	70.24198008223233	0.06314625517287265	0.051255169031653655	0.07503734131409164	solo
2-03	2-03orig	2.5	1	7.942188488431871	82.67181994129808	98.23822333705316	67.10541654554301	0.06032515171532737	0.048966436651625	0.07168386677902973	solo
2-03	2-03orig	2.5500000000000003	1	7.601765085001303	79.1544668008672	94.05365258640381	64.25528101533058	0.05775855935067953	0.046886709141194076	0.06863040956016499	solo
2-03	2-03orig	2.6	1	7.289925691334942	75.94563976698021	90.23363157196995	61.65764796199047	0.05541709671220218	0.04499123123645266	0.0658429621879517	solo
2-03	2-03orig	2.6500000000000004	1	7.003758236411926	73.01037913649982	86.73749303629296	59.28326523670668	0.05327525390550593	0.04325865781258583	0.06329184999842602	solo
2-03	2-03orig	2.7	1	6.740652759957299	70.31829257224535	83.52972921405217	57.10685593043854	0.0513108538168813	0.04167054445438831	0.060951163179374296	solo
