AGE_WEEKS	INDIVIDUAL	Q	N_GROUP	D_SD	D	D_UPPER	D_LOWER	E	E_LOWER	E_UPPER	DIVTYPE
16	1009	2.7	1	0.21889945839929598	3.8611684768642767	4.290203531562221	3.432133422166333	0.041803145945881054	0.037158175099645786	0.04644811679211633	solo
16	1009	2.75	1	0.2165892596599542	3.82518495436946	4.2496921027411645	3.400677805997756	0.04141356842510959	0.03681761919761985	0.04600951765259934	solo
16	1009	2.8000000000000003	1	0.21439384191965738	3.790942591177757	4.211146799847459	3.370738382508055	0.041042841658170605	0.03649347843629986	0.04559220488004134	solo
16	1009	2.85	1	0.2123039815411428	3.758317622248187	4.174425779843284	3.3422094646530907	0.040689625696263075	0.036184608589279445	0.045194642803246705	solo
16	1009	2.9000000000000004	1	0.21031141912509208	3.727197848541029	4.139400655563717	3.31499504151834	0.04035270581051398	0.03588997018928431	0.044815441431743645	solo
16	1009	2.95	1	0.20840873922226533	3.6974813131900337	4.1059549361290735	3.2890076902509935	0.04003097815948632	0.035608616748147234	0.0444533395708254	solo
16	1009	3	1	0.20658926722115903	3.6690751543341817	4.073982677680174	3.264167630988189	0.03972343736930111	0.035339684524938304	0.04410719021366392	solo
16	1009	3.0500000000000003	1	0.20484698068816065	3.6418946080979353	4.043387312588502	3.2404019036073684	0.039429165739350035	0.03508238361300885	0.043775947865691216	solo
16	1009	3.1	1	0.20317643290561901	3.6158621395641455	4.014080630566477	3.2176436485618134	0.03914732383372737	0.03483599015391909	0.04345865751353565	solo
16	1009	3.1500000000000004	1	0.2015726867356329	3.590906683171255	3.9859818894400703	3.19583147690244	0.03887714225734993	0.03459983951694561	0.043154444997754254	solo
16	1009	3.2	1	0.20003125725041493	3.566962976929319	3.9590170369223987	3.1749089169362392	0.03861791444781135	0.03437332030829952	0.04286250858732318	solo
16	1009	3.25	1	0.1985480618270507	3.543970977302789	3.9331180276840403	3.154823926921538	0.03836899034057943	0.034155869095295735	0.04258211158586312	solo
16	1009	3.3000000000000003	1	0.19711937661604464	3.5218753436449464	3.908222222467381	3.135528464822512	0.038129770787198106	0.03394696574827735	0.04231257582611885	solo
16	1009	3.35	1	0.1957417984676809	3.5006249827644433	3.8842718580301954	3.1169781074986913	0.03789970262451287	0.03374612931775058	0.042053275931275155	solo
