id	p	v	d	j
2-03	0.0014114397222	IGHV1-06*01	NA	IGHJ1-08*27
2-03	0.0	IGHV4-02*01	NA	IGHJ1-08*27
2-03	4.0544191962e-32	IGHV2-05*01	NA	IGHJ1-08*27
2-03	0.014114024604	IGHV1-07*01	NA	IGHJ1-08*27
2-03	0.0	IGHV2-02*02	NA	IGHJ1-08*27
2-03	0.0077103731238	IGHV4-01*02	NA	IGHJ1-08*27
2-03	0.026817317459999997	IGHV5-01*02	NA	IGHJ1-08*27
2-03	0.0119971941666	IGHV1-03*02	NA	IGHJ1-08*27
2-03	0.0085211277888	IGHV1-02*02	NA	IGHJ1-08*27
2-03	0.0	IGHV2-01*02	NA	IGHJ1-08*27
2-03	0.053634510714	IGHV1-01*02	NA	IGHJ1-08*27
2-03	0.0	IGHV1-01*01	NA	IGHJ1-09*28
2-03	0.0	IGHV1-02*01	NA	IGHJ1-09*28
2-03	0.0	IGHV2-01*01	NA	IGHJ1-09*28
2-03	0.0	IGHV1-03*01	NA	IGHJ1-09*28
2-03	0.0	IGHV3-01*01	NA	IGHJ1-09*28
2-03	0.0	IGHV2-02*01	NA	IGHJ1-09*28
2-03	0.0	IGHV4-01*01	NA	IGHJ1-09*28
2-03	0.0	IGHV1-04*01	NA	IGHJ1-09*28
2-03	0.0	IGHV2-03*01	NA	IGHJ1-09*28
2-03	0.0	IGHV1-05*01	NA	IGHJ1-09*28
2-03	0.0	IGHV5-01*01	NA	IGHJ1-09*28
2-03	0.0	IGHV2-04*01	NA	IGHJ1-09*28
2-03	0.0	IGHV6-01*01	NA	IGHJ1-09*28
2-03	0.0035285903905	IGHV1-06*01	NA	IGHJ1-09*28
2-03	0.0	IGHV4-02*01	NA	IGHJ1-09*28
2-03	0.05561371963	IGHV2-05*01	NA	IGHJ1-09*28
2-03	0.020465790390499998	IGHV1-07*01	NA	IGHJ1-09*28
2-03	0.0	IGHV2-02*02	NA	IGHJ1-09*28
2-03	0.04539402486499999	IGHV4-01*02	NA	IGHJ1-09*28
2-03	0.038814346094999994	IGHV5-01*02	NA	IGHJ1-09*28
2-03	0.019054349999999998	IGHV1-03*02	NA	IGHJ1-09*28
2-03	0.025177571229999997	IGHV1-02*02	NA	IGHJ1-09*28
2-03	0.0	IGHV2-01*02	NA	IGHJ1-09*28
2-03	0.0036664591985	IGHV1-01*02	NA	IGHJ1-09*28
2-03	0.0	IGHV1-01*01	NA	IGHJ2-06*02
2-03	0.0	IGHV1-02*01	NA	IGHJ2-06*02
2-03	0.0	IGHV2-01*01	NA	IGHJ2-06*02
2-03	0.0	IGHV1-03*01	NA	IGHJ2-06*02
2-03	0.0	IGHV3-01*01	NA	IGHJ2-06*02
2-03	0.0	IGHV2-02*01	NA	IGHJ2-06*02
2-03	0.0	IGHV4-01*01	NA	IGHJ2-06*02
2-03	0.0	IGHV1-04*01	NA	IGHJ2-06*02
2-03	0.0	IGHV2-03*01	NA	IGHJ2-06*02
2-03	0.0	IGHV1-05*01	NA	IGHJ2-06*02
2-03	0.0	IGHV5-01*01	NA	IGHJ2-06*02
2-03	0.0	IGHV2-04*01	NA	IGHJ2-06*02
2-03	0.0	IGHV6-01*01	NA	IGHJ2-06*02
2-03	0.0	IGHV1-06*01	NA	IGHJ2-06*02
2-03	0.0	IGHV4-02*01	NA	IGHJ2-06*02
2-03	0.00423430211715	IGHV2-05*01	NA	IGHJ2-06*02
2-03	0.00070571596095	IGHV1-07*01	NA	IGHJ2-06*02
2-03	0.0	IGHV2-02*02	NA	IGHJ2-06*02
2-03	0.00029744602524	IGHV4-01*02	NA	IGHJ2-06*02
2-03	0.00070571596095	IGHV5-01*02	NA	IGHJ2-06*02
2-03	0.0	IGHV1-03*02	NA	IGHJ2-06*02
2-03	0.000408270570855	IGHV1-02*02	NA	IGHJ2-06*02
2-03	0.0	IGHV2-01*02	NA	IGHJ2-06*02
2-03	0.0	IGHV1-01*02	NA	IGHJ2-06*02
2-03	0.0	IGHV1-01*01	NA	IGHJ2-05*02
2-03	0.0	IGHV1-02*01	NA	IGHJ2-05*02
2-03	0.0	IGHV2-01*01	NA	IGHJ2-05*02
2-03	0.013408638873	IGHV1-03*01	NA	IGHJ2-05*02
2-03	0.0035285840587999996	IGHV3-01*01	NA	IGHJ2-05*02
2-03	0.00035302634534999994	IGHV2-02*01	NA	IGHJ2-05*02
2-03	0.008582267962	IGHV4-01*01	NA	IGHJ2-05*02
2-03	0.005645721029	IGHV1-04*01	NA	IGHJ2-05*02
